Time,VAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Heat Cap [W],VAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Sens Cool Cap [W],VAV SYS 1:DesPer 1:Des Tot Cool Cap [W],VAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Heat Cap [W],VAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Sens Cool Cap [W],VAV SYS 1:DesPer 2:Des Tot Cool Cap [W]
06:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.684613E+03,8.054184E+03
06:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.744449E+03,8.115902E+03
06:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.804284E+03,8.177625E+03
07:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.864120E+03,8.239343E+03
07:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.009435E+03,8.389241E+03
07:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.230822E-01,3.203360E+03,8.610883E+03
07:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.528627E-01,3.640822E+03,9.182584E+03
08:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.776892E-01,4.037370E+03,9.682719E+03
08:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,4.390925E-01,4.912496E+03,1.083871E+04
08:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,4.983775E-01,5.989622E+03,1.232422E+04
08:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,5.550530E-01,7.010459E+03,1.373709E+04
09:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,6.095889E-01,8.082699E+03,1.518982E+04
09:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,6.784279E-01,9.164166E+03,1.678242E+04
09:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,7.629945E-01,1.020764E+04,1.835788E+04
09:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,8.360586E-01,1.123420E+04,1.975133E+04
10:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.183740E-01,1.228672E+04,2.121025E+04
10:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.393930E-01,1.267106E+04,2.161644E+04
10:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.556737E-01,1.300098E+04,2.194793E+04
10:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.689860E-01,1.329684E+04,2.227494E+04
11:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,9.800592E-01,1.356691E+04,2.256755E+04
